disease,symptoms,severity,risk_score,medications,tests,description,specialty
Sepsis,"fever|rapid heartbeat|shortness of breath|confusion|low blood pressure|chills|extreme pain",Critical,95,"Piperacillin-Tazobactam 4.5g|Vancomycin 1g|Meropenem 1g|Norepinephrine",Blood cultures|Lactate|CBC|CRP|Procalcitonin|Liver function,"Life-threatening organ dysfunction caused by dysregulated host response to infection.",Critical Care
UTI,"painful urination|frequent urination|cloudy urine|strong smell|lower abdominal pain|fever|blood in urine",Medium,45,"Nitrofurantoin 100mg|Trimethoprim-Sulfamethoxazole|Ciprofloxacin 500mg|Cephalexin 500mg",Urinalysis|Urine culture|CBC,"Infection in any part of the urinary system including bladder and urethra.",Urology
GERD,"heartburn|chest pain|acid reflux|difficulty swallowing|chronic cough|sore throat",Low,30,"Omeprazole 20mg|Pantoprazole 40mg|Famotidine 20mg|Sucralfate 1g",Upper endoscopy|pH monitoring|Barium swallow,"Chronic digestive disease with backflow of stomach acid into the esophagus.",Gastroenterology
Migraine,"severe headache|nausea|vomiting|sensitivity to light|sensitivity to sound|vision changes",Medium,52,"Sumatriptan 50mg|Rizatriptan 10mg|Topiramate 100mg|Propranolol 40mg|Amitriptyline 25mg",CT head|MRI brain|LP if needed,"Recurring severe throbbing headache often unilateral and disabling.",Neurology
Epilepsy,"seizures|confusion|uncontrollable jerking|loss of consciousness|staring spell|anxiety",High,70,"Levetiracetam 500mg|Valproic Acid 500mg|Lamotrigine 100mg|Carbamazepine 200mg",EEG|MRI brain|CBC|Liver function,"Neurological disorder characterized by recurrent seizures.",Neurology
"Parkinson's Disease","tremor|bradykinesia|rigidity|balance problems|stooped posture|small handwriting|loss of smell",High,65,"Levodopa-Carbidopa|Pramipexole 0.5mg|Ropinirole 1mg|Rasagiline 1mg|Amantadine 100mg",DaTscan|MRI brain|Clinical evaluation,"Progressive neurodegenerative disorder affecting movement.",Neurology
"Alzheimer's Disease","memory loss|confusion|disorientation|mood changes|difficulty speaking|personality changes",High,72,"Donepezil 10mg|Rivastigmine 6mg|Memantine 10mg|Galantamine 8mg",MMSE|MRI brain|PET scan|CSF biomarkers,"Progressive neurodegenerative disease causing memory loss and cognitive decline.",Neurology
Anxiety,"excessive worry|restlessness|fatigue|trouble concentrating|muscle tension|sleep problems|palpitations",Medium,42,"Sertraline 50mg|Escitalopram 10mg|Venlafaxine 75mg|Buspirone 10mg|Lorazepam 0.5mg",GAD-7|PHQ-9|TSH|CBC,"Excessive and persistent worry that interferes with daily activities.",Psychiatry
Depression,"persistent sadness|loss of interest|fatigue|sleep changes|appetite changes|feelings of worthlessness|concentration problems",Medium,50,"Sertraline 50mg|Fluoxetine 20mg|Escitalopram 10mg|Venlafaxine 75mg|Bupropion 150mg",PHQ-9|HAM-D|TSH|CBC,"Mood disorder causing persistent feelings of sadness and loss of interest.",Psychiatry
Obesity,"excess body weight|fatigue|shortness of breath|joint pain|snoring|sweating",Medium,55,"Orlistat 120mg|Phentermine 15mg|Liraglutide 3mg|Naltrexone-Bupropion",BMI|Waist circumference|Lipid panel|HbA1c,"Excessive accumulation of body fat presenting risk to health.",Endocrinology
Hyperlipidemia,"chest pain|shortness of breath|fatigue|xanthomas|numbness|leg pain while walking",Medium,50,"Atorvastatin 80mg|Rosuvastatin 20mg|Simvastatin 40mg|Ezetimibe 10mg",Lipid panel|LFTs|CK|Cardiac risk markers,"Elevated levels of lipids in the blood increasing cardiovascular risk.",Cardiology
Hypothyroidism,"fatigue|weight gain|cold intolerance|constipation|dry skin|hair loss|depression|menstrual irregularities",Low,35,"Levothyroxine 50mcg|Liothyronine 5mcg",TSH|Free T4|Free T3|Anti-TPO antibodies,"Underactive thyroid gland producing insufficient thyroid hormones.",Endocrinology
Hyperthyroidism,"weight loss|rapid heartbeat|sweating|tremor|anxiety|heat intolerance|frequent bowel movements",Medium,55,"Methimazole 20mg|Propylthiouracil 100mg|Propranolol 40mg|Radioactive Iodine",TSH|Free T4|Free T3|TRAb|Thyroid uptake scan,"Overactive thyroid gland producing excess thyroid hormones.",Endocrinology
Rheumatoid Arthritis,"joint pain|joint swelling|morning stiffness|fatigue|fever|weight loss|nodules",Medium,58,"Methotrexate 15mg|Hydroxychloroquine 200mg|Sulfasalazine 1g|Adalimumab 40mg|Prednisone 5mg",Rheumatoid factor|CCP antibodies|ESR|CRP|X-ray of joints,"Chronic autoimmune disorder primarily affecting joints.",Rheumatology
Osteoarthritis,"joint pain|joint stiffness|swelling|decreased range of motion|grating sensation|bone spurs",Medium,45,"Acetaminophen|Ibuprofen 400mg|Naproxen 500mg|Diclofenac|Duloxetine 30mg",X-ray of joints|MRI joint|CRP,"Degenerative joint disease causing cartilage breakdown.",Rheumatology
Migraine_Chronic,"headache|nausea|vomiting|sensitivity to light|sensitivity to sound|visual disturbances",Medium,55,"Topiramate 100mg|Propranolol 80mg|Amitriptyline 50mg|OnabotulinumtoxinA",MRI brain|Headache diary,"Headaches occurring 15 or more days per month for 3+ months.",Neurology
Anemia,"fatigue|weakness|pale skin|shortness of breath|dizziness|cold hands and feet|headache",Medium,40,"Ferrous sulfate 325mg|Vitamin B12 1000mcg|Folic acid 1mg|Epoetin alfa",CBC|Iron studies| reticulocyte count|B12|Folate|Hemoglobin electrophoresis,"Deficiency of red blood cells or hemoglobin in the blood.",Hematology
Allergic_Rhinitis,"sneezing|runny nose|itchy eyes|congestion|watery eyes|postnasal drip",Low,18,"Cetirizine 10mg|Loratadine 10mg|Mometasone nasal spray|Montelukast 10mg",Skin prick test|Specific IgE|Nasal smear,"Allergic inflammation of the nasal airways.",Allergy/Immunology
Bronchitis,"cough|mucus production|fatigue|shortness of breath|chest discomfort|slight fever",Medium,40,"Azithromycin 500mg|Amoxicillin 500mg|Guaifenesin|Dextromethorphan",Chest X-ray|Sputum culture|CBC,"Inflammation of the bronchial tubes lining the lungs.",Pulmonology
Cellulitis,"red skin|swelling|warmth|tenderness|fever|chills|red streaks",Medium,52,"Cephalexin 500mg|Dicloxacillin 500mg|Clindamycin 300mg|Linezolid 600mg",Blood culture|Wound culture|CBC|CRP,"Common bacterial skin infection causing redness and swelling.",Infectious Disease
Conjunctivitis,"red eye|itchy eye|burning eye|discharge|tearing|sensitivity to light|grainy feeling",Low,15,"Erythromycin ointment|Polymyxin-Trimethoprim drops|Fluoroquinolone drops",Eye exam|Culture if needed,"Inflammation or infection of the conjunctiva (transparent membrane).",Ophthalmology
Dermatitis,"itchy skin|red skin|swelling|rash|blisters|oozing|cracked skin",Low,22,"Hydrocortisone 1%|Triamcinolone 0.1%|Tacrolimus 0.1%|Cetirizine 10mg",Patch testing|Skin biopsy|CBC,"Inflammation of the skin presenting as itchy rash.",Dermatology
Gastritis,"upper abdominal pain|nausea|vomiting|bloating|indigestion|burning sensation|hiccups",Medium,38,"Omeprazole 20mg|Pantoprazole 40mg|Sucralfate 1g|Amoxicillin 500mg",Upper endoscopy|H. pylori test|CBC,"Inflammation of the stomach lining.",Gastroenterology
Gout,"severe joint pain|redness|swelling|tenderness|warmth in joint|limited range of motion",Medium,55,"Colchicine 0.6mg|Naproxen 500mg|Prednisone 30mg|Allopurinol 100mg|Febuxostat 40mg",Serum uric acid|Joint fluid analysis|X-ray,"Form of inflammatory arthritis caused by high uric acid.",Rheumatology
Hepatitis_B,"fatigue|nausea|vomiting|abdominal pain|jaundice|joint pain|dark urine",High,68,"Entecavir 0.5mg|Tenofovir 300mg|Pegylated Interferon",HBsAg|HBeAg|HBV DNA|Liver function|Liver biopsy,"Viral infection that attacks the liver and can cause acute or chronic disease.",Hepatology
Kidney_Stones,"severe flank pain|blood in urine|painful urination|frequent urination|nausea|vomiting|fever",High,65,"Tamsulosin 0.4mg|Ketorolac 10mg|Hydrochlorothiazide 25mg|Allopurinol 100mg",CT abdomen|Ultrasound|Urinalysis|Urine culture,"Hard deposits of minerals and salts inside the kidneys.",Urology
Lupus,"fatigue|joint pain|skin rash|fever|numbness|swelling|headaches|sensitivity to sun",High,72,"Hydroxychloroquine 200mg|Prednisone 5mg|Methotrexate 15mg|Belimumab 200mg",ANA|Anti-dsDNA|Anti-Sm|ESR|CRP|Urinalysis,"Chronic autoimmune disease causing inflammation in many body systems.",Rheumatology
Multiple_Sclerosis,"numbness|tingling|weakness|vision problems|dizziness|fatigue|trouble walking|tremor",High,73,"Interferon beta-1a|Glatiramer acetate|Fingolimod 0.5mg|Natalizumab 300mg",MRI brain|MRI spine|LP with oligoclonal bands|Evoked potentials,"Chronic disease affecting the central nervous system.",Neurology
Psoriasis,"red skin patches|silvery scales|itching|burning|soreness|thick nails|joint pain",Medium,45,"Methotrexate 15mg|Adalimumab 40mg|Etanercept 50mg|Ustekinumab 45mg|Topical corticosteroids",Skin biopsy|CRP|X-ray for psoriatic arthritis,"Chronic autoimmune condition causing rapid skin cell buildup.",Dermatology
Sleep_Apnea,"loud snoring|episodes of stopped breathing during sleep|gasping for air|morning headache|daytime fatigue|difficulty concentrating",Medium,55,"CPAP therapy|Weight loss|Modafinil 200mg|Sleep positioning",Polysomnography|HOME sleep test,"Sleep disorder with repeated breathing interruptions during sleep.",Sleep Medicine
Thyroid_Cancer,"neck lump|hoarseness|trouble swallowing|neck pain|swollen lymph nodes|cough",High,72,"Levothyroxine|Radioactive iodine|Sorafenib|Lenvatinib",Thyroid ultrasound|Fine needle aspiration|Thyroid function tests|CT neck,"Cancer originating in the thyroid gland.",Oncology
Tonsillitis,"sore throat|swollen tonsils|difficulty swallowing|fever|enlarged lymph nodes|white patches on tonsils",Medium,38,"Amoxicillin 500mg|Penicillin V 500mg|Azithromycin 500mg|Acetaminophen|Ibuprofen 400mg",Throat swab|Rapid strep test|CBC|ASO titer,"Inflammation of the tonsils usually due to viral or bacterial infection.",ENT
Tuberculosis,"chronic cough|blood in sputum|fever|night sweats|weight loss|fatigue|chest pain",Critical,85,"Isoniazid 300mg|Rifampin 600mg|Pyrazinamide 1500mg|Ethambutol 1200mg",Sputum smear|Culture|Chest X-ray|Mantoux test|IGRA,"Serious bacterial infection primarily affecting the lungs.",Infectious Disease
Ulcerative_Colitis,"bloody diarrhea|abdominal pain|rectal pain|urgency to defecate|weight loss|fatigue|fever",High,68,"Mesalamine 2.4g|Prednisone 40mg|Azathioprine 150mg|Infliximab 5mg|Vedolizumab 300mg",Colonoscopy|CT abdomen|CRP|Calprotectin|CBC,"Inflammatory bowel disease causing inflammation and ulcers in the colon.",Gastroenterology
Vertigo,"dizziness|spinning sensation|nausea|vomiting|sweating|abnormal eye movements|hearing loss",Medium,42,"Meclizine 25mg|Dimenhydrinate 50mg|Diazepam 5mg|Promethazine 25mg",Dix-Hallpike test|MRI brain|Audiometry|ECG,"Sensation of spinning or dizziness often caused by inner ear problems.",Neurology
Vitiligo,"loss of skin color in patches|premature graying of hair|loss of color in mouth|nose|change in color of retina",Low,15,"Topical corticosteroids|Tacrolimus 0.1%|Narrowband UVB|PUVA therapy",Wood's lamp examination|Skin biopsy|Thyroid function tests,"Autoimmune condition causing loss of pigmentation in patches of skin.",Dermatology
Whooping_Cough,"severe cough|whoop sound|vomiting after cough|fever|runny nose|watery eyes",High,62,"Azithromycin 500mg|Erythromycin 500mg|Trimethoprim-Sulfamethoxazole",PCR testing|Culture|CBC|Chest X-ray,"Highly contagious respiratory infection caused by Bordetella pertussis.",Infectious Disease
Appendicitis,"abdominal pain|nausea|vomiting|fever|loss of appetite|abdominal swelling|painful urination",High,78,"Cefazolin 1g|Metronidazole 500mg|IV fluids|Appendectomy",CT abdomen|Ultrasound|CBC|CRP,"Inflammation of the appendix causing severe abdominal pain.",General Surgery
Cholecystitis,"right upper abdominal pain|fever|nausea|vomiting|jaundice|abdominal bloating",High,68,"Ceftriaxone 1g|Metronidazole 500mg|IV fluids|Pain management",Abdominal ultrasound|HIDA scan|CBC|LFTs,"Inflammation of the gallbladder often caused by gallstones.",General Surgery
Pancreatitis,"upper abdominal pain|nausea|vomiting|fever|rapid pulse|abdominal tenderness|weight loss",High,80,"IV fluids|Pain management|NPO|Insulin if needed|Octreotide",Lipase|Amylase|CT abdomen|Ultrasound|LFTs,"Inflammation of the pancreas.",Gastroenterology
Diverticulitis,"lower abdominal pain|fever|nausea|vomiting|constipation|bloating|tenderness",Medium,58,"Metronidazole 500mg|Ciprofloxacin 500mg|IV fluids|Liquid diet",CT abdomen|Colonoscopy|CBC|CRP,"Inflammation or infection of small pouches in the digestive tract.",Gastroenterology
Eczema,"itchy skin|red rash|small bumps|scales|cracked skin|raw sensitive skin",Low,20,"Hydrocortisone 1%|Topical calcineurin inhibitors|Antihistamines|Moisturizers",Skin examination|Patch testing|Skin biopsy,"Chronic condition causing inflamed, itchy, cracked, and rough skin.",Dermatology
Fibromyalgia,"widespread pain|fatigue|sleep problems|headaches|depression|anxiety|tender points",Medium,40,"Duloxetine 30mg|Pregabalin 75mg|Milnacipran 50mg|Amitriptyline 25mg",Clinical examination|TSH|Vitamin D|CBC,"Disorder characterized by widespread musculoskeletal pain.",Rheumatology
Glaucoma,"eye pain|blurred vision|halos around lights|red eye|nausea|vision loss|headache",High,72,"Timolol eye drops|Latanoprost eye drops|Brimonidine 0.1%|Dorzolamide 2%|Acetazolamide 500mg",Tonometry|Ophthalmoscopy|Perimetry|Gonioscopy,"Group of eye conditions damaging the optic nerve.",Ophthalmology
Hemorrhoids,"pain during bowel movements|itching|bleeding|swelling|lump near anus",Low,15,"Hydrocortisone cream|Witch hazel pads|Stool softeners|Rubber band ligation",Anoscopy|Sigmoidoscopy|Colonoscopy,"Swollen and inflamed veins in the rectum and anus.",Gastroenterology
Hernia,"bulge in the groin or abdomen|pain or discomfort|weakness|heavy feeling|burning sensation",Medium,50,"Pain management|Surgical repair|Truss|Laparoscopic surgery",Physical examination|Ultrasound|CT scan|MRI,"Protrusion of an organ through the wall of the cavity that contains it.",General Surgery
Kidney_Disease,"fatigue|nausea|swelling|changes in urination|shortness of breath|confusion|chest pain",High,82,"ACE inhibitors|Diureties|Erythropoietin|Phosphate binders|Dialysis",BUN|Creatinine|GFR|Electrolytes|Urinalysis,"Progressive loss of kidney function over time.",Nephrology
Liver_Disease,"jaundice|abdominal pain|swelling|nausea|vomiting|discolored urine|chronic fatigue",High,75,"Lactulose|Rifaximin|Spironolactone|Propranolol|Vitamin K",LFTs|Coagulation studies|Albumin|Bilirubin|Liver biopsy,"Various conditions affecting liver function.",Hepatology
Menopause,"hot flashes|night sweats|irregular periods|mood changes|sleep problems|vaginal dryness",Low,25,"Hormone therapy|Selective serotonin reuptake inhibitors|Gabapentin 300mg|Vaginal estrogen",FSH|Estradiol|TSH|Lipid panel,"Natural decline in reproductive hormones when a woman reaches her 40s or 50s.",Gynecology
Osteoporosis,"back pain|loss of height|stooped posture|fragile bones|easy fractures",Medium,50,"Alendronate 70mg|Risedronate 35mg|Denosumab 60mg|Calcium|Vitamin D",DEXA scan|Bone markers|Serum calcium|Vitamin D,"Condition in which bones become weak and brittle.",Endocrinology
Prostate_Enlargement,"frequent urination|difficulty starting urination|weak stream|incomplete emptying|nocturia",Medium,48,"Tamsulosin 0.4mg|Finasteride 5mg|Dutasteride 0.5mg",PSA|DRE|Ultrasound|Urodynamic studies,"Noncancerous enlargement of the prostate gland.",Urology
Psoriasis_Arthritis,"joint pain|joint stiffness|swollen fingers|foot pain|lower back pain|skin rashes",Medium,55,"Methotrexate 15mg|Adalimumab 40mg|Etanercept 50mg|Secukinumab 150mg",CRP|ESR|X-ray joints|MRI joints,"Form of arthritis affecting some people with psoriasis.",Rheumatology
Rosacea,"facial redness|swollen red bumps|eye problems|enlarged nose|dry skin|sensitivity",Low,18,"Metronidazole gel|Ivermectin cream|Brimonidine gel|Isotretinoin 20mg",Clinical examination|Skin biopsy,"Chronic skin condition causing facial redness and visible blood vessels.",Dermatology
Scabies,"intense itching|burrows|small blisters|rash|skin sores|thick crusts",Low,15,"Permethrin 5%|Ivermectin 200mcg|Crotamiton 10%",Skin scraping|Microscopic examination,"Skin infestation by the mite Sarcoptes scabiei.",Dermatology
Sinusitis,"facial pain|nasal congestion|runny nose|reduced sense of smell|cough|fever|fatigue",Medium,35,"Amoxicillin 500mg|Augmentin 875mg|Doxycycline 100mg|Nasal corticosteroids",CT sinuses|Endoscopy|Culture|X-ray,"Inflammation of the sinuses causing infection and congestion.",ENT
Spinal_Stenosis,"back pain|numbness|tingling|muscle weakness|trouble walking|leg pain",Medium,55,"NSAIDs|Physical therapy|Steroid injections|Surgical decompression",MRI spine|CT scan|X-ray|EMG,"Narrowing of the spaces within the spine putting pressure on nerves.",Orthopedics
"Thyroid Nodule","neck lump|hoarseness|trouble swallowing|neck pain|swollen lymph nodes",Low,30,"Levothyroxine|Radioactive iodine|Thyroidectomy|TSH suppression",Thyroid ultrasound|Fine needle aspiration|Thyroid function tests,"Solid or fluid-filled lump that forms within the thyroid.",Endocrinology
"Vitamin D Deficiency","fatigue|bone pain|muscle weakness|mood changes|frequent infections|hair loss",Low,25,"Vitamin D3 50000 IU|Calcium 1000mg|Magnesium 400mg",Serum 25-hydroxyvitamin D|Calcium|Phosphorus|PTH,"Insufficient levels of vitamin D affecting bone and immune health.",Endocrinology
"Vitamin B12 Deficiency","fatigue|weakness|pale skin|smooth tongue|numbness|tingling|difficulty walking|memory loss",Medium,38,"Vitamin B12 1000mcg|Intrinsic factor tests|Folic acid 1mg",CBC|B12 levels|Methylmalonic acid|Homocysteine,"Deficiency of vitamin B12 causing anemia and neurological issues.",Hematology
West_Nile_Virus,"fever|headache|body aches|skin rash|swollen lymph nodes|neck stiffness|confusion",Medium,50,"Supportive care|IV fluids|Pain relievers",Serology|PCR|CSF analysis|MRI brain,"Mosquito-borne viral infection affecting the central nervous system.",Infectious Disease
"Yeast Infection","itching|burning|swelling|redness|thick white discharge|pain during urination",Low,15,"Fluconazole 150mg|Miconazole cream|Butoconazole cream",Microscopic examination|Culture|pH test,"Fungal infection causing irritation and discharge.",Gynecology
Zika_Virus,"fever|skin rash|joint pain|muscle pain|headache|red eyes",Low,28,"Supportive care|IV fluids|Pain relievers|Acetaminophen",PCR testing|Serology|Urinalysis,"Mosquito-borne viral infection usually mild but can cause birth defects.",Infectious Disease
